slide_id,sample_code,tissue_type,stain_type,loction
S0052,SP0052,Kidney,PAS,Cabinet-5
S0053,SP0053,Skin,Gram,Cabinet-7
S0054,SP0054,Liver,Trichrome,Cabinet-2
S0055,SP0055,Kidney,Trichrome,Cabinet-5
S0056,SP0056,Liver,Trichrome,Cabinet-1
S0057,SP0057,Liver,H&E,Cabinet-3
S0058,SP0058,Kidney,Gram,Cabinet-2
S0059,SP0059,Muscle,Gram,Cabinet-10
S0060,SP0060,Brain,Trichrome,Cabinet-3
S0061,SP0061,Liver,Trichrome,Cabinet-10
S0062,SP0062,Muscle,Gram,Cabinet-4
S0063,SP0063,Muscle,H&E,Cabinet-2
S0064,SP0064,Muscle,PAS,Cabinet-3
S0065,SP0065,Liver,Trichrome,Cabinet-6
S0066,SP0066,Brain,Gram,Cabinet-6
S0067,SP0067,Muscle,Gram,Cabinet-4
S0068,SP0068,Kidney,H&E,Cabinet-7
S0069,SP0069,Liver,H&E,Cabinet-1
S0070,SP0070,Skin,H&E,Cabinet-7
S0071,SP0071,Brain,PAS,Cabinet-4
S0072,SP0072,Muscle,PAS,Cabinet-6
S0073,SP0073,Skin,Gram,Cabinet-6
S0074,SP0074,Muscle,PAS,Cabinet-10
S0075,SP0075,Skin,Gram,Cabinet-2
S0076,SP0076,Skin,Gram,Cabinet-3
S0077,SP0077,Kidney,PAS,Cabinet-10
S0078,SP0078,Liver,H&E,Cabinet-2
S0079,SP0079,Skin,Gram,Cabinet-5
S0080,SP0080,Kidney,PAS,Cabinet-7
S0081,SP0081,Muscle,Trichrome,Cabinet-1
S0082,SP0082,Skin,Gram,Cabinet-4
S0083,SP0083,Brain,PAS,Cabinet-9
S0084,SP0084,Kidney,Gram,Cabinet-7
S0085,SP0085,Muscle,PAS,Cabinet-7
S0086,SP0086,Skin,Trichrome,Cabinet-7
S0087,SP0087,Skin,Gram,Cabinet-3
S0088,SP0088,Liver,PAS,Cabinet-7
S0089,SP0089,Skin,Trichrome,Cabinet-1
S0090,SP0090,Kidney,H&E,Cabinet-6
S0091,SP0091,Muscle,PAS,Cabinet-2
S0092,SP0092,Liver,H&E,Cabinet-4
S0093,SP0093,Skin,PAS,Cabinet-7
S0094,SP0094,Kidney,PAS,Cabinet-6
S0095,SP0095,Muscle,H&E,Cabinet-2
S0096,SP0096,Kidney,H&E,Cabinet-5
S0097,SP0097,Muscle,Gram,Cabinet-2
S0098,SP0098,Liver,PAS,Cabinet-4
S0099,SP0099,Skin,H&E,Cabinet-8
S0100,SP0100,Muscle,Gram,Cabinet-6
S0101,SP0101,Brain,PAS,Cabinet-7
S0102,SP0102,Skin,H&E,Cabinet-10
S0103,SP0103,Liver,PAS,Cabinet-9
S0104,SP0104,Brain,Gram,Cabinet-1
S0105,SP0105,Kidney,Gram,Cabinet-5
S0106,SP0106,Liver,Trichrome,Cabinet-2
S0107,SP0107,Liver,Gram,Cabinet-4
S0108,SP0108,Muscle,H&E,Cabinet-3
S0109,SP0109,Skin,Gram,Cabinet-6
S0110,SP0110,Brain,PAS,Cabinet-8
S0111,SP0111,Muscle,PAS,Cabinet-1
S0112,SP0112,Brain,Trichrome,Cabinet-8
S0113,SP0113,Liver,Trichrome,Cabinet-10
S0114,SP0114,Brain,Trichrome,Cabinet-2
S0115,SP0115,Liver,PAS,Cabinet-10
S0116,SP0116,Brain,Trichrome,Cabinet-8
S0117,SP0117,Liver,H&E,Cabinet-3
S0118,SP0118,Muscle,PAS,Cabinet-8
S0119,SP0119,Brain,PAS,Cabinet-4
S0120,SP0120,Brain,H&E,Cabinet-3
S0121,SP0121,Skin,Gram,Cabinet-3
S0122,SP0122,Muscle,Trichrome,Cabinet-4
S0123,SP0123,Skin,Trichrome,Cabinet-2
S0124,SP0124,Muscle,PAS,Cabinet-7
S0125,SP0125,Skin,Trichrome,Cabinet-3
S0126,SP0126,Muscle,PAS,Cabinet-7
S0127,SP0127,Liver,Gram,Cabinet-8
S0128,SP0128,Skin,Gram,Cabinet-9
S0129,SP0129,Muscle,PAS,Cabinet-4
S0130,SP0130,Kidney,Trichrome,Cabinet-7
S0131,SP0131,Muscle,Trichrome,Cabinet-8
S0132,SP0132,Skin,H&E,Cabinet-1
S0133,SP0133,Muscle,Trichrome,Cabinet-7
S0134,SP0134,Brain,Gram,Cabinet-8
S0135,SP0135,Skin,PAS,Cabinet-7
S0136,SP0136,Liver,PAS,Cabinet-10
S0137,SP0137,Muscle,Trichrome,Cabinet-9
S0138,SP0138,Brain,H&E,Cabinet-5
S0139,SP0139,Kidney,PAS,Cabinet-7
S0140,SP0140,Liver,PAS,Cabinet-7
S0141,SP0141,Kidney,PAS,Cabinet-8
S0142,SP0142,Kidney,H&E,Cabinet-7
S0143,SP0143,Brain,H&E,Cabinet-10
S0144,SP0144,Liver,H&E,Cabinet-7
S0145,SP0145,Skin,H&E,Cabinet-1
S0146,SP0146,Muscle,Gram,Cabinet-4
S0147,SP0147,Liver,Gram,Cabinet-3
S0148,SP0148,Kidney,Trichrome,Cabinet-7
S0149,SP0149,Brain,PAS,Cabinet-7
S0150,SP0150,Skin,Gram,Cabinet-10
S0151,SP0151,Liver,PAS,Cabinet-9
S0152,SP0152,Skin,H&E,Cabinet-4
S0153,SP0153,Brain,PAS,Cabinet-6
S0154,SP0154,Muscle,Gram,Cabinet-7
S0155,SP0155,Skin,Gram,Cabinet-8
S0156,SP0156,Liver,Trichrome,Cabinet-1
S0157,SP0157,Brain,H&E,Cabinet-10
S0158,SP0158,Muscle,PAS,Cabinet-5
S0159,SP0159,Skin,PAS,Cabinet-7
S0160,SP0160,Liver,H&E,Cabinet-4
S0161,SP0161,Liver,Gram,Cabinet-3
S0162,SP0162,Muscle,PAS,Cabinet-9
S0163,SP0163,Kidney,PAS,Cabinet-8
S0164,SP0164,Brain,PAS,Cabinet-4
S0165,SP0165,Brain,Gram,Cabinet-3
S0166,SP0166,Brain,H&E,Cabinet-10
S0167,SP0167,Brain,Trichrome,Cabinet-7
S0168,SP0168,Skin,PAS,Cabinet-10
S0169,SP0169,Muscle,PAS,Cabinet-9
S0170,SP0170,Kidney,H&E,Cabinet-8
S0171,SP0171,Brain,Gram,Cabinet-3
S0172,SP0172,Skin,H&E,Cabinet-6
S0173,SP0173,Skin,Gram,Cabinet-5
S0174,SP0174,Skin,Trichrome,Cabinet-8
S0175,SP0175,Liver,Gram,Cabinet-10
S0176,SP0176,Liver,Gram,Cabinet-3
S0177,SP0177,Kidney,Gram,Cabinet-8
S0178,SP0178,Skin,PAS,Cabinet-10
S0179,SP0179,Skin,Gram,Cabinet-4
S0180,SP0180,Liver,Gram,Cabinet-8
S0181,SP0181,Skin,Gram,Cabinet-6
S0182,SP0182,Skin,PAS,Cabinet-10
S0183,SP0183,Kidney,Gram,Cabinet-8
S0184,SP0184,Kidney,PAS,Cabinet-8
S0185,SP0185,Skin,H&E,Cabinet-10
S0186,SP0186,Liver,PAS,Cabinet-7
S0187,SP0187,Skin,H&E,Cabinet-5
S0188,SP0188,Liver,Gram,Cabinet-7
S0189,SP0189,Brain,Gram,Cabinet-9
S0190,SP0190,Brain,Gram,Cabinet-8
S0191,SP0191,Liver,PAS,Cabinet-2
S0192,SP0192,Liver,H&E,Cabinet-1
S0193,SP0193,Skin,Gram,Cabinet-2
S0194,SP0194,Skin,Trichrome,Cabinet-6
S0195,SP0195,Muscle,Trichrome,Cabinet-3
S0196,SP0196,Kidney,PAS,Cabinet-4
S0197,SP0197,Kidney,H&E,Cabinet-3
S0198,SP0198,Brain,Trichrome,Cabinet-3
S0199,SP0199,Muscle,H&E,Cabinet-6
S0200,SP0200,Brain,PAS,Cabinet-7
